n_places;milliseconds;milliseconds_n_at_once;valid_transitions
13;63.4959;63.4709;4
13;137.342;241.121;2
13;73.0984;73.2837;4
13;58.8434;58.7301;11
13;46.4656;46.4873;2
13;53.6086;53.4904;6
13;104.337;110.355;3
13;91.3541;91.3127;4
13;80.0015;80.2869;4
13;93.5102;93.3089;5
13;50.9908;51.1133;4
13;80.0694;80.0238;5
13;61.168;60.2351;6
13;44.3441;44.2136;3
13;144.691;97.3163;4
13;55.9566;56.1602;4
13;64.2343;68.8325;1
13;55.7128;55.5163;5
13;82.7405;93.5396;5
13;47.6181;47.5484;4
13;65.1918;64.893;6
13;62.5719;62.524;7
13;55.252;55.5787;2
13;60.6085;98.094;0
13;62.5682;62.5287;3
13;58.4655;58.4579;5
13;104.332;104.004;1
13;75.7448;75.6417;6
13;121.692;102.047;2
13;221.287;378.224;1
13;51.2487;51.2629;5
13;136.132;132.343;6
13;58.2737;61.1207;2
13;62.1434;62.1224;6
13;75.1388;161.439;5
13;56.6944;56.6309;4
13;61.602;63.4907;5
13;85.9185;85.792;5
13;57.1599;74.9467;2
13;149.839;157.016;2
13;44.5694;44.5142;1
13;157.792;152.045;2
13;64.964;64.9631;4
13;45.0731;45.0275;1
13;1369.71;573.986;5
13;345.387;344.581;5
13;71.1982;83.8878;0
13;83.9361;77.0072;3
13;54.7326;54.6767;3
13;191.163;173.187;3
13;165.055;167.018;6
13;99.077;126.558;8
13;76.7072;103.138;3
13;62.7148;62.6758;3
13;346.874;298.594;5
13;63.1956;63.2288;8
13;55.4947;55.5048;7
13;74.2054;74.0919;3
13;68.6625;71.5045;4
13;62.8745;62.8569;5
13;64.8688;64.3815;12
13;68.2495;68.2552;1
13;76.4518;58.9544;3
13;60.8225;60.7679;10
13;72.841;72.7768;7
13;207.875;89.7259;0
13;57.3117;57.2985;5
13;60.6244;60.5992;7
13;41.7363;41.6854;3
13;54.078;54.0859;2
13;53.6765;98.498;5
13;61.8927;61.7697;4
13;92.5597;94.0597;3
