n_places;milliseconds;milliseconds_n_at_once;valid_transitions
12;170.187;155.784;1
12;64.5898;83.7872;0
12;72.8185;72.7344;7
12;103.797;91.3812;3
12;76.0404;71.3528;2
12;51.5165;51.4462;4
12;62.6621;62.6614;4
12;116.992;84.507;3
13;68.7813;74.5195;3
13;166.374;163.828;4
13;61.9414;61.8955;6
13;53.7329;53.7347;6
13;96.9019;96.7199;6
13;60.6243;60.4835;2
13;65.7918;65.8448;5
13;61.4841;61.4224;7
13;78.7394;78.7226;1
13;64.8299;64.8324;7
13;128.001;126.336;3
13;149.333;146.453;4
13;207.257;210.035;5
13;62.0617;61.9018;8
13;157.692;157.762;2
13;114.997;117.171;5
13;132.705;108.871;6
13;74.0358;73.9115;8
13;63.4283;61.6733;6
13;69.0776;69.0525;4
13;64.7241;64.6607;6
13;91.6903;61.1293;3
13;86.7903;87.0466;5
13;55.8297;55.857;6
13;258.834;274.511;6
13;63.3948;65.3716;2
13;53.3916;53.3438;2
13;76.5235;78.2166;5
13;83.0742;83.0596;7
13;94.1398;89.3622;2
13;64.691;64.6376;4
13;78.8282;80.3147;2
13;946.888;957.365;4
13;100.739;100.736;10
13;141.725;142.067;5
13;120.114;330.324;1
13;68.3612;68.3255;5
13;53.7247;54.8714;7
13;53.4955;53.4427;1
13;144.219;263.518;6
13;102.959;116.811;6
13;60.8107;60.7608;2
13;157.874;131.661;3
13;61.1075;61.0256;10
13;78.818;78.5638;1
13;208.742;223.714;4
13;56.845;56.8221;5
13;65.1879;65.167;4
13;53.2077;53.1887;4
13;72.0123;71.9618;2
13;74.1097;76.042;3
13;65.1423;64.6;3
13;718.929;586.959;3
13;104.928;102.169;8
13;439.182;85.0081;8
13;57.6992;57.534;7
13;108.146;185.55;0
13;74.7904;74.8058;6
13;172.066;171.076;2
13;62.6487;62.6574;3
13;51.1821;101.392;1
13;90.2514;90.1131;7
13;79.8386;76.8772;2
13;58.9791;58.9997;2
13;78.6618;78.6547;2
13;65.3451;65.2701;6
13;85.2006;88.2372;4
13;67.2997;162.675;5
13;67.2832;67.2043;5
13;103.376;135.888;4
13;55.8753;55.8079;1
13;52.8342;52.8092;4
13;89.0956;89.0553;3
13;71.5435;71.5558;6
13;174.059;174.241;4
13;54.6635;53.9445;0
13;329.932;328.273;4
13;51.5688;51.4168;4
13;61.5275;61.5467;6
13;50.3085;50.1194;3
13;140.956;148.616;1
13;86.6455;86.6092;4
13;57.273;57.2212;5
13;64.748;64.7772;4
13;74.8417;76.0017;4
13;162.624;261.177;4
13;564.501;129.452;2
13;58.3952;58.339;7
13;68.4809;64.0116;4
13;66.6602;66.5931;1
13;72.4339;95.9519;4
13;92.5756;71.2727;1
13;72.6427;72.5785;3
13;111.678;113.571;5
13;53.4925;53.4209;5
13;62.7282;62.5699;3
13;64.6687;64.5684;1
13;63.7036;63.6318;2
13;50.9596;50.9129;3
13;60.3498;60.2302;7
14;104.259;101.377;6
14;82.9432;82.8555;8
14;454.249;179.5;5
14;111.217;102.278;6
14;74.4048;92.4267;4
14;74.1511;73.5794;7
14;76.4187;76.3599;5
14;100.235;276.358;3
14;84.918;84.974;7
14;66.335;66.5701;8
14;93.0102;93.0646;3
14;55.1838;55.179;5
14;54.3496;54.3049;5
14;76.8537;76.8658;5
14;61.294;61.287;5
14;72.1704;72.1527;8
14;270.62;270.96;5
14;40.1253;40.114;4
14;66.7474;66.7451;8
14;289.792;476.441;1
14;80.0091;79.9949;8
14;64.5204;96.1258;3
14;70.2102;70.1341;8
14;81.9555;78.3707;5
14;64.5629;64.558;5
14;57.4702;55.0268;8
14;130.336;163.719;4
14;65.1274;63.3462;9
14;73.606;92.1466;0
14;405.115;1355.42;3
14;306.657;140.952;2
14;71.8552;71.9194;5
14;96.0957;96.0089;3
14;142.931;143.086;2
14;155.15;127.985;4
14;85.7805;86.7135;10
14;87.4757;86.2588;2
14;51.5914;51.6132;3
14;91.3976;91.0758;3
14;102.361;100.466;4
14;57.8306;57.7366;5
14;127.851;163.174;3
14;62.8169;62.8382;4
14;87.3774;123.203;1
14;123.437;190.242;8
14;341.662;91.8873;3
14;82.0093;92.8613;9
14;74.6596;74.6144;13
14;795.443;582.063;3
14;95.5913;94.5835;7
14;106.159;103.721;6
14;116.941;129.365;5
14;69.7826;69.7644;10
14;86.6993;85.656;8
14;439.872;131.582;4
14;51.924;51.7843;3
14;77.6854;77.6468;10
14;79.2741;62.3026;2
14;118.964;194.057;0
14;76.5677;76.5836;6
14;78.935;78.8918;5
14;57.3067;57.3109;9
14;82.8551;82.8853;4
14;74.5036;75.1679;11
14;55.5099;55.4524;5
14;64.2284;64.1543;2
14;61.4362;79.244;0
14;148.173;148.713;2
14;53.9334;53.8576;5
14;99.3394;75.8161;1
14;86.9146;91.7975;3
14;56.6062;56.6034;3
14;66.3207;66.3266;2
14;87.2425;87.2198;5
14;63.9141;63.9032;7
14;71.5535;71.5358;9
14;134.923;123.634;4
14;60.1971;60.2022;7
14;64.6781;64.7098;4
14;288.101;467.071;5
14;69.7471;66.3484;5
14;218.839;94.1461;0
14;59.3061;59.3292;10
14;348.384;459.325;1
14;69.3103;69.2361;9
14;104.985;166.467;4
14;74.55;89.1084;2
14;53.408;53.3516;1
14;69.0839;69.1383;4
14;87.0974;87.3683;4
14;186.533;172.914;3
14;55.3466;55.2778;5
14;65.6754;65.6656;2
14;49.7809;49.7578;3
14;79.0151;78.9722;7
14;65.592;65.6187;7
14;603.065;849.598;1
14;84.8852;88.6913;2
14;103.174;101.779;5
14;64.2167;64.201;2
15;78.3028;78.1262;8
15;73.6021;73.5226;10
15;81.6243;78.4513;2
15;75.163;73.806;1
15;268.574;193.27;4
15;79.4548;79.297;4
15;61.0179;60.899;8
15;65.4825;63.9241;6
15;63.3324;63.2629;6
15;57.7662;57.7099;3
15;85.7279;86.135;7
15;62.3756;62.2295;1
15;65.1009;67.3238;7
15;69.0414;68.9641;4
15;69.1392;69.0321;6
15;190.115;185.348;4
15;79.8959;79.7955;3
15;109.324;164.86;5
15;369.933;155.116;4
15;127.745;126.283;5
15;137.476;90.4187;3
15;68.3193;68.3516;3
15;67.9865;67.9594;5
15;92.5109;92.558;6
15;69.1899;69.0323;9
15;207.512;1977.71;0
15;78.3334;80.7535;6
15;67.3168;177.731;5
15;51.0727;51.0351;2
15;78.2528;77.6979;3
15;85.0259;84.9227;2
15;226.499;95.1292;13
15;79.4445;192.595;7
15;60.5288;60.4927;5
15;115.968;128.532;5
15;217.443;191.519;2
15;64.0572;64.0186;1
15;83.7592;83.7163;3
15;59.0417;59.0073;11
15;60.1138;60.0879;8
15;136.353;291.702;4
15;91.4008;103.495;4
15;67.163;67.1056;8
15;85.6159;85.4319;11
15;73.7616;73.715;5
15;89.6799;89.5908;5
15;746.746;742.758;3
15;114.22;115.217;5
15;132.084;132.176;7
15;68.5247;68.5171;5
15;71.3978;86.1366;5
15;59.0128;58.9898;6
15;94.8131;94.2761;9
15;66.4168;128.46;6
15;84.3773;84.4014;8
15;55.1971;55.1579;15
15;90.1883;90.1191;4
15;232.093;596.297;7
15;73.4641;73.4165;6
15;89.0887;89.1525;5
15;75.2951;86.4701;5
15;1610.29;349.512;5
15;72.8802;71.3076;7
15;81.6374;80.8619;3
15;119.08;125.238;4
15;847.188;942.18;7
15;899.165;902.903;7
15;82.364;99.4471;4
15;186.446;204.082;3
15;71.6863;71.7224;3
15;60.7164;60.6655;4
15;59.8735;56.6533;2
15;96.5429;136.385;8
15;194.407;130.339;1
15;112.219;112.464;10
15;149.393;149.284;8
15;115.425;105.732;5
15;70.183;159.141;2
15;145.186;282.607;2
15;193.257;193.285;5
15;82.9117;85.549;6
15;75.0063;74.931;7
15;123.758;124.373;7
15;94.3399;152.955;7
15;81.2161;85.3191;5
15;167.346;116.114;8
15;48.889;48.8434;1
15;103.941;74.1921;7
15;65.9848;65.9578;6
15;60.0787;59.9871;6
15;64.9833;65.0082;4
15;57.1204;57.0383;4
15;74.3951;74.2505;6
15;84.2898;83.7714;5
15;1154.85;2313.15;5
15;55.9455;55.7901;3
15;100.773;145.216;8
15;1055.15;2809.45;5
15;110.426;118.145;4
15;51.787;52.1139;6
16;105.972;105.81;9
16;2848.32;136.485;8
16;190.523;190.149;4
16;120.769;129.594;5
16;199.27;90.8663;5
16;80.3873;80.3228;3
16;84.5158;75.1154;3
16;68.2469;93.3292;6
16;78.0496;77.3373;4
16;71.7742;71.648;7
16;94.2512;595.497;10
16;220.459;220.214;4
16;262.318;347.747;9
16;96.3749;96.1977;4
16;166.167;254.55;4
16;247.713;259.726;6
16;137.452;74.562;7
16;207.081;369.052;5
16;127.681;79.7791;2
16;75.5437;447.096;6
16;1115.63;113.38;4
16;125.846;162.149;5
16;101.419;101.315;3
16;75.2777;75.4024;10
16;936.211;323.817;5
16;84.5205;108.872;4
16;538.568;480.33;3
16;76.8542;76.818;8
16;146.033;102.153;7
16;104.732;104.627;6
16;179.634;179.593;2
16;73.594;73.598;6
16;618.932;494.068;1
16;78.9317;75.1672;6
16;70.2854;70.2011;8
16;66.773;66.742;9
16;64.4568;62.6743;5
16;151.385;164.421;3
16;157.047;151.125;4
16;97.8769;96.1962;8
16;313.735;313.446;1
16;472.677;504.928;11
16;278.506;154.028;4
16;102.698;111.728;6
16;197.659;254.967;3
16;186.337;214.039;8
16;80.0879;80.0443;3
16;74.2;68.3758;3
16;133.6;98.3787;11
16;81.4933;83.9155;7
16;74.547;74.458;4
16;92.4179;92.3505;9
16;222.017;1319.8;6
16;117.576;103.396;4
16;82.6377;82.5514;6
16;336.007;362.746;6
16;86.9817;125.678;4
16;78.4059;573.918;6
16;96.4885;93.5246;9
16;96.5607;115.376;7
16;164.46;231.73;0
16;81.3439;184.79;10
16;384.787;323.411;3
16;95.5516;130.095;3
16;61.1983;61.1997;7
16;78.2976;76.041;5
16;68.8951;68.8006;8
16;69.6738;83.8814;5
16;72.6804;72.032;4
16;73.2644;73.4406;4
16;84.7109;85.0251;8
16;85.1783;158.876;5
16;84.1242;104.298;7
16;86.0543;129.077;4
16;68.6566;68.5716;6
16;659.048;768.933;6
16;823.276;240.365;7
16;81.9234;78.281;4
16;48.6431;48.5803;0
16;229.461;232.168;7
16;285.223;529.265;1
16;81.4593;89.8449;4
16;72.8208;72.7631;11
16;1933.79;2424.79;8
16;65.2745;113.615;3
16;138.719;138.522;8
16;77.641;77.5977;3
16;78.0688;781.912;2
16;71.7377;71.6981;12
16;71.796;71.7434;8
16;77.5707;91.0834;2
16;128.874;128.587;7
16;128.007;128.011;7
16;105.059;104.954;6
16;86.2425;86.6241;6
16;1944.37;1970.68;7
16;78.4322;55.6178;1
16;98.7857;98.7543;4
16;65.6002;65.5459;6
16;72.9283;72.9112;2
17;84.821;84.7804;8
17;99.0871;99.0555;7
17;232.395;198.156;7
17;145.682;145.301;10
17;71.2327;71.1891;4
17;77.8396;77.7423;9
17;70.5111;70.5111;6
17;83.17;83.052;6
17;1840.07;2105.1;3
17;1128.96;881.777;2
17;63.8364;63.9629;6
17;71.419;71.331;6
17;117.087;110.644;11
17;233.198;168.205;4
17;94.2773;200.199;12
17;88.1053;87.9819;8
17;855.114;452.927;1
17;144.121;144.109;6
17;109.163;109.778;9
17;77.712;76.7595;11
17;5076.05;2274.13;1
17;257.387;262.334;3
17;89.2038;95.577;6
17;99.9489;123.422;8
17;69.6499;68.7571;3
17;213.38;1154.18;4
17;75.1567;74.9639;6
17;85.3763;85.3479;8
17;965.124;2251.7;3
17;93.4175;96.7634;8
17;83.9604;93.1607;5
17;58.7246;61.2998;13
17;128.215;139.769;10
17;105.847;105.82;10
17;79.7474;153.215;1
17;199.484;444.273;5
17;898.152;562.465;4
17;95.6335;85.9749;4
17;92.5589;104.72;8
17;83.3541;83.3339;8
17;249.181;259.912;3
17;128.584;131.021;4
17;188.452;192.201;8
17;80.081;79.9734;5
17;141.587;206.524;6
17;139.153;141.901;2
17;141.794;142.855;8
17;84.4695;84.392;5
17;93.9902;93.7547;7
17;85.5434;85.44;6
17;70.4971;70.3928;7
17;62.7189;62.6403;3
17;72.8209;72.7125;4
17;73.4462;73.4922;10
17;85.438;193.576;12
17;116.032;154.593;9
17;93.8348;386.111;7
17;86.6445;87.4839;10
17;158.598;158.995;5
17;99.7665;96.2861;3
17;37248.4;16780.3;4
17;1489.98;709.364;4
17;97.2775;80.0352;6
17;79.6049;99.8498;7
17;82.0963;82.0385;5
17;97.3629;113.934;4
17;227.274;309.033;7
17;148.32;143.973;5
17;340.074;264.062;5
17;79.4722;79.517;3
17;84.6573;84.7131;8
17;136.231;167.147;7
17;308.511;170.826;4
17;91.2202;90.857;9
17;2836.51;4458.25;5
17;125.97;138.806;7
17;185.013;185.028;6
17;97.1762;92.2691;4
17;96.7172;687.159;3
17;54.6608;54.573;9
17;239.018;273.993;8
17;81.469;81.444;11
17;525.655;523.424;6
17;85.4789;86.7819;0
17;116.577;115.532;5
17;90.7054;90.6077;7
17;78.5475;78.4977;9
17;456.538;267.374;6
17;71.5552;71.5531;7
17;4892.81;3643.46;7
17;80.4545;80.3817;8
17;81.6437;81.6033;5
17;301.064;173.3;2
17;85.4838;85.2878;7
17;70.611;70.6998;10
17;77.2311;77.1583;5
17;54.379;54.3295;3
17;71.9052;71.8575;4
17;234.059;678.558;11
17;64.004;63.9473;5
18;90.1088;89.2741;10
18;65.0443;64.9595;6
18;71.637;511.486;2
18;131.453;105.579;3
18;87.3123;145.903;9
18;309.457;338.034;5
18;110.026;93.9033;11
18;93.8117;88.234;12
18;68.842;68.8072;5
18;89.8778;88.6211;6
18;79.2628;79.2813;2
18;76.6355;1254.29;6
18;141.399;186.989;7
18;89.9131;89.893;6
18;109.765;109.591;13
18;526.162;81.6205;7
18;128.978;140.477;4
18;83.7637;346.451;9
18;67.3504;67.3643;11
18;73.6252;70.0852;6
18;88.246;91.3693;6
18;88.6441;87.107;7
18;200.134;5286.08;7
18;62.9462;74.3638;8
18;122.461;290.005;10
18;89.0331;94.2775;5
18;93.6023;175.153;3
18;412.333;519.431;4
18;640.233;635.042;12
18;79.957;79.8352;8
18;89.6001;89.6444;7
18;105.546;172.093;7
18;102.577;101.599;5
18;91.6418;96.6453;4
18;77.9106;80.6296;9
18;104.272;126.745;1
18;79.4843;79.3835;3
18;78.4046;78.3511;5
18;93.0918;180.76;4
18;131.673;131.611;6
18;78.3543;78.323;7
18;71.4895;71.4294;10
18;95.274;243.339;7
18;95.4951;95.3366;9
18;87.1549;87.1625;7
18;89.2371;89.1955;12
18;100.395;100.295;8
18;100.266;100.245;5
18;104.035;219.281;5
18;78.3012;170.581;10
18;76.6628;78.1128;7
18;159.187;134.245;4
18;119.053;349.033;7
18;112.195;96.9318;7
18;95.0807;177.285;12
18;225.888;687.265;0
18;73.2474;75.9953;2
18;71.5501;75.9269;5
18;95.0686;95.0172;13
18;135.644;242.733;3
18;86.2652;148.801;4
18;85.1636;85.1645;4
18;98.9815;119.522;6
18;265.958;1695.34;4
18;80.5872;80.489;8
18;63.1569;63.0549;3
18;78.7921;78.675;6
18;80.8757;101.383;2
18;114.479;845.747;11
18;76.1083;89.5865;8
18;607.347;695.48;5
18;69.1354;158.022;6
18;142.216;142.143;11
18;77.2466;77.1981;11
18;141.788;137.082;2
18;666.156;641.297;2
18;129.904;144.839;9
18;84.4116;84.6376;3
18;49.8505;56.8101;4
18;74.9809;80.2755;6
18;511.76;338.842;8
18;81.938;116.695;5
18;73.9109;70.5906;9
18;69.7419;89.0348;5
18;69.8209;69.7393;8
18;76.5714;76.5094;4
18;158.824;105.369;10
18;331.317;209.996;4
18;85.8985;85.8459;7
