n_places;milliseconds;milliseconds_n_at_once;valid_transitions
14;152.202;90.4351;5
14;59.3929;61.7278;5
14;105.686;94.4518;4
14;519.925;1044.58;4
14;80.4611;80.3977;2
14;75.5901;75.6096;7
14;66.7678;67.4861;17
14;149.144;823.823;3
14;47.176;47.1766;1
14;62.4525;62.4355;8
14;216.46;210.062;1
14;69.2526;69.1671;11
14;65.6424;65.6263;2
14;77.2874;79.9213;11
14;720.485;201.33;5
14;73.8244;81.1231;7
14;59.2262;59.2307;12
14;112.348;121.801;2
14;69.9835;69.7846;1
14;71.7155;71.7519;6
14;55.1437;55.1679;16
14;109.478;99.4903;5
14;80.5165;81.7906;4
14;56.8485;56.8466;9
14;54.6745;54.8608;11
14;61.9495;58.9559;9
14;56.1323;56.0868;5
14;188.363;239.501;1
14;75.1939;75.0802;17
14;73.5812;73.431;12
14;62.9308;62.9299;18
14;74.2708;74.8241;4
14;109.53;105.525;5
14;57.3617;66.3982;8
14;59.8206;61.9898;5
14;73.6063;439.778;4
14;62.3555;62.3706;13
14;64.6818;83.3422;6
14;50.6004;50.4806;9
14;62.0774;62.0488;9
14;112.469;117.433;2
14;57.1215;57.0977;4
14;796.113;516.46;3
14;65.8018;79.2318;12
14;45.5552;45.4782;10
14;71.4453;70.2917;6
14;67.3107;67.262;35
14;54.3514;54.3535;11
14;73.4239;71.0207;12
14;68.6963;69.197;16
14;84.9762;84.9469;8
14;54.1192;56.9814;2
14;62.8583;62.8165;6
14;184.421;158.344;5
14;75.362;75.1515;3
14;84.1261;84.1533;14
14;208.423;373.544;15
14;99.2211;66.6398;2
14;69.7753;68.5894;7
14;48.5029;48.464;0
14;59.5169;61.6907;13
14;125.773;97.2161;4
14;103.343;79.4242;1
14;76.3743;76.2864;10
14;69.665;100.397;1
14;137.534;137.507;13
14;62.2669;62.295;8
14;93.5885;516.495;8
14;59.7687;59.7417;3
14;60.651;60.5386;15
14;51.986;51.919;7
14;60.9688;60.9318;11
14;56.1468;56.0991;18
14;52.9117;53.1405;5
14;52.128;53.2382;8
14;61.0683;60.2034;6
14;459.304;79.0887;5
14;70.9476;74.1486;10
15;111.718;128.576;7
15;60.6649;60.648;3
15;153.215;168.821;6
15;113.005;74.1462;15
15;93.4136;93.4852;1
15;59.7821;59.8914;12
15;46.6663;46.5435;11
15;48.9319;52.7842;0
15;108.817;121.086;4
15;162.979;180.183;5
15;59.6543;58.4344;2
15;128.9;415.108;5
15;80.6432;77.3889;2
15;82.5578;1010.66;7
15;113.776;492.889;5
15;96.0708;99.8772;2
15;63.5742;63.5228;8
15;1539.99;13740;0
15;143.134;92.6684;15
15;73.7605;73.7059;7
15;60.1303;60.1437;8
15;158.169;265.873;20
15;60.3809;60.9829;24
15;83.8377;83.3144;6
15;182.619;330.755;5
15;54.5236;54.5553;34
15;108.445;125.008;8
15;80.5904;77.0573;6
15;55.676;55.6724;7
15;74.6486;74.6959;3
15;84.8323;83.9944;3
15;65.9882;66.0084;8
15;108.661;106.547;4
15;66.4776;66.4793;12
15;61.0025;59.9916;16
15;57.232;57.2056;4
15;60.5165;60.4158;19
15;59.3929;59.4626;6
15;67.3777;67.3674;16
15;119.467;119.563;8
15;73.187;73.2088;10
15;92.5957;117.819;15
15;51.2876;53.3328;6
15;125.018;108.395;5
15;159.863;159.354;7
15;151.149;180.428;13
15;119.45;85.4049;5
15;63.5758;63.4104;16
15;90.237;90.0414;6
15;67.7013;72.5195;3
15;59.0767;58.9997;15
15;68.435;70.8321;5
15;94.5551;96.6216;9
15;68.8714;64.1537;6
15;59.2747;59.0776;19
15;72.0996;71.9662;6
15;73.8973;75.587;15
15;70.1597;70.0436;4
15;76.2886;76.3133;16
15;64.7768;69.4515;2
15;92.7891;308.308;6
15;116.857;76.1276;3
15;48.1917;48.1052;2
15;75.4108;75.4656;11
15;78.1421;79.9503;9
15;77.8442;77.3328;19
15;65.6601;65.5661;23
15;61.4727;61.526;16
15;746.332;729.532;6
15;94.7164;90.3423;8
15;444.66;455.844;10
15;78.4756;80.8828;6
15;78.1531;65.6192;8
15;60.5124;60.5223;11
15;114.472;114.272;17
15;86.6543;86.6144;21
15;60.8992;60.859;18
15;81.2604;81.2911;7
15;93.7154;210.205;10
15;267.052;111.709;1
15;57.25;58.0473;18
15;92.7841;137.948;5
15;133.755;133.843;2
15;63.2381;60.5675;4
15;2792.82;545.126;10
15;141.57;91.9493;9
15;93.1736;93.1195;10
15;74.7177;70.9423;6
15;75.9554;76.0272;23
15;108.863;110.831;8
15;1147.45;494.815;18
15;81.5267;81.463;7
15;65.8168;67.4676;12
15;223.49;106.645;14
15;68.1558;68.0749;12
15;80.9479;80.9599;2
15;87.603;89.0667;7
15;57.5714;61.083;4
15;81.2623;93.0016;4
15;77.917;68.6413;10
16;105.827;109.203;7
16;55.494;64.4338;2
16;83.1364;83.1459;3
16;442.62;87.0108;7
16;71.6445;71.7106;12
16;70.2942;70.3308;19
16;66.1668;89.4466;4
16;118.084;140.145;11
16;80.5371;80.5481;12
16;60.279;60.2561;7
16;141.346;588.571;11
16;140.485;64.9095;3
16;485.806;409.621;11
16;106.129;137.306;9
16;69.704;69.1237;7
16;85.1469;88.5848;2
16;81.9873;86.1982;10
16;80.4533;82.03;6
16;83.851;80.6456;12
16;75.1365;88.1189;14
16;75.2832;75.2067;14
16;70.5887;70.5717;7
16;66.6167;66.565;23
16;70.0399;65.7407;13
16;72.5051;75.5647;21
16;126.118;74.2258;11
16;103.546;99.9642;12
16;61.1893;62.4823;4
16;62.9847;63.1804;4
16;99.5276;72.4823;3
16;67.5181;68.5377;4
16;83.8313;83.7184;11
16;71.5349;345.044;3
16;66.1097;66.1373;17
16;64.6987;64.7403;5
16;73.1245;73.1116;10
16;115.231;88.8585;11
16;82.3211;78.7499;8
16;62.7447;62.7151;8
16;90.5129;109.758;9
16;98.582;96.906;8
16;75.2901;80.137;8
16;144.183;167.55;6
16;84.3232;88.389;5
16;73.9602;94.9344;3
16;803.017;970.747;4
16;88.0999;87.0991;21
16;83.8472;83.7955;11
16;88.0351;273.373;3
16;91.836;100.009;6
16;79.1544;76.6529;8
16;76.7666;77.6423;14
16;74.6951;74.5934;13
16;82.7223;82.7826;11
16;72.8523;72.8618;14
16;102.684;102.554;11
16;73.9326;73.9135;9
16;72.3934;72.3544;7
16;77.2465;79.5839;12
16;197.728;243.558;9
16;73.2254;75.196;5
16;88.1898;118.497;11
16;3389.1;2401.62;6
16;66.8018;66.8863;11
16;80.6553;603.523;17
16;115.825;184.572;2
16;163.535;230.554;4
16;89.0635;97.1538;9
16;63.9075;63.8594;0
16;69.5889;76.5213;28
16;61.1615;61.1886;12
16;70.4979;70.5708;17
16;74.8101;74.7676;19
16;67.7322;61.5609;0
16;181.193;145.267;5
16;71.2177;67.19;5
16;72.058;72.0304;3
16;76.985;77.0466;8
16;75.7749;73.5628;17
16;84.8665;77.8872;15
16;68.9124;68.9136;6
16;59.3517;58.3434;14
16;70.0259;69.0177;0
16;112.729;77.827;13
16;71.4705;71.3463;7
16;96.3544;96.4457;4
16;79.5599;94.1195;8
16;99.7523;99.7354;7
16;870.307;342.214;4
16;117.708;96.5703;12
16;120.518;553.974;1
16;69.5811;71.3891;13
16;72.5662;73.3029;3
16;102.981;108.219;3
16;74.3133;63.0216;0
16;62.843;62.887;17
16;1506.5;468.955;13
16;74.515;74.3783;3
16;81.5696;87.5708;8
16;57.8981;57.9079;7
17;75.9657;79.5831;9
17;67.0244;66.8979;3
17;117.98;111.241;7
17;137.87;341.102;7
17;486.644;698.937;1
17;85.2495;84.7306;13
17;76.0337;75.8933;14
17;89.9849;89.3339;18
17;215.323;215.148;11
17;216.588;213.903;5
17;76.0537;76.1618;11
17;64.2428;64.1307;1
17;86.3895;86.4889;17
17;69.3616;68.5124;15
17;81.246;80.1916;6
17;70.7793;70.6692;7
17;104.383;89.1448;18
17;89.2018;106.734;16
17;74.8621;74.7466;2
17;67.7186;70.6774;6
17;73.9324;75.704;7
17;152.715;771.865;11
17;96.082;95.89;13
17;729.943;748.672;5
17;168.397;169.532;7
17;72.7967;66.6247;6
17;78.8924;78.8701;9
17;105.008;99.229;14
17;114.181;74.4029;4
17;256.845;814.492;2
17;70.1783;99.5498;13
17;96.942;98.5902;12
17;77.5996;82.4606;3
17;686.539;658.566;7
17;174.471;159.998;8
17;112.423;98.6788;8
17;75.2297;75.0813;5
17;78.6544;78.6311;20
17;106.984;82.8289;6
17;80.0766;83.3466;11
17;57.9114;57.8949;19
17;397.79;421.608;4
17;115.288;115.421;6
17;68.5341;68.452;1
17;70.5487;70.2433;8
17;78.9591;78.9441;3
17;68.6667;65.6266;10
17;78.9858;70.6828;3
17;420.779;206.334;8
17;69.7176;69.6134;10
17;76.4792;76.4098;17
17;87.6736;87.6192;12
17;71.335;71.2169;9
17;89.1065;94.2334;25
17;93.3277;80.4407;4
17;66.2818;79.2051;4
17;153.223;280.835;5
17;83.1218;86.0523;11
17;92.7101;91.2672;7
17;80.7435;74.3183;17
17;125.482;112.575;2
17;73.9686;72.339;8
17;69.0617;65.506;13
17;103.724;103.574;8
17;94.512;94.5237;8
17;148.75;266.751;4
17;81.7525;88.3959;8
17;406.329;659.943;8
17;86.0198;87.2704;7
17;88.1106;134.162;17
17;143.054;134.585;12
17;67.089;66.9806;5
17;652.106;2115.8;10
17;148.307;491.078;18
