n_places;milliseconds;milliseconds_n_at_once;valid_transitions
14;62.4423;61.4462;13
14;80.712;90.3904;6
14;64.5634;75.7763;14
14;61.7247;61.6595;7
14;73.3849;73.325;13
14;67.2694;67.4711;2
14;74.3173;77.9321;10
14;82.1435;79.4378;10
14;102.923;92.9361;6
14;251.656;286.978;2
14;63.4014;63.3886;13
14;54.0083;54.0113;3
14;76.8451;76.8321;5
14;415.349;136.581;8
14;70.6413;63.899;1
14;64.7467;64.7369;14
14;74.5606;76.2169;5
14;107.363;65.1583;3
14;60.346;60.2618;18
14;145.868;121.072;4
14;82.3334;82.114;2
14;134.257;174.266;8
14;66.613;65.498;6
14;63.9294;63.9147;6
14;163.833;628.81;10
14;82.0481;82.0134;12
14;60.772;77.6319;6
14;92.4244;92.9679;9
14;56.7891;58.8461;4
14;55.0481;59.9054;6
14;63.2011;63.0772;0
14;316.466;284.554;7
14;114.724;147.482;4
14;63.1269;63.0861;9
14;51.6153;51.425;11
14;105.602;87.6813;4
14;75.825;74.0192;8
14;73.6278;72.9769;13
14;65.5402;65.6204;7
14;50.6937;51.0369;1
14;128.654;184.29;5
14;64.7294;64.553;6
14;784.73;815.98;3
14;66.9819;67.3441;8
14;55.4112;55.377;16
14;62.6839;62.7347;8
14;81.1291;79.1845;13
14;71.4942;71.9947;6
14;74.4822;199.111;9
14;64.463;63.5915;13
14;66.2367;66.3925;7
14;59.9136;60.9485;4
14;102.231;128.382;12
14;71.6278;71.5078;5
14;98.2927;313.004;7
14;60.3001;64.5045;10
14;104.61;70.4061;2
14;70.7385;67.685;5
14;63.3023;63.3256;6
14;1303.08;115.168;1
14;75.7635;75.7152;9
14;122.533;122.235;8
14;629.939;308.855;2
14;50.79;56.1585;2
14;61.2272;62.4481;4
14;151.164;89.3221;5
14;96.7364;96.7586;4
14;99.385;99.3817;5
14;51.0921;73.9844;2
14;64.6498;70.4136;18
14;42.9613;42.9598;8
14;107.55;107.661;6
14;74.8757;73.4956;4
14;93.6041;93.7483;2
14;99.3892;97.6063;3
14;64.204;65.1942;15
14;92.0847;120.324;7
14;71.2526;71.1908;12
14;73.435;73.39;19
14;59.6316;59.5751;13
14;69.343;63.8676;7
14;64.2533;62.731;2
14;84.5382;84.4741;11
14;66.2724;72.4224;7
14;80.3956;80.4166;16
14;81.5602;81.4819;9
14;68.2537;69.0181;9
15;60.7153;68.3597;4
15;63.1709;64.7193;9
15;71.2067;72.2254;1
15;71.899;71.9432;8
15;81.3934;81.4387;11
15;83.8822;77.8396;4
15;78.5382;196.283;8
15;64.6514;64.5639;16
15;117.88;117.682;14
15;62.6588;99.1346;10
15;92.2177;98.8384;12
15;91.8034;90.2701;26
15;467.879;340.482;2
15;65.8992;66.7724;13
15;845.823;1024.68;1
15;63.0218;64.8569;15
15;375.366;83.9471;6
15;115.782;87.7975;3
15;374.942;513.168;7
15;73.7302;79.5347;7
15;90.6658;122.234;2
15;73.3177;73.2819;15
15;69.1094;69.083;1
15;56.2281;55.801;18
15;75.728;75.7212;2
15;68.712;68.6912;12
15;133.84;133.846;7
15;4338.07;2717.2;3
15;59.8034;59.5959;17
15;72.2725;70.9472;7
15;54.7985;54.8064;22
15;68.2695;68.1871;4
15;126.158;113.589;10
15;74.5541;74.4856;10
15;86.3587;86.172;2
15;107.427;180.417;9
15;105.134;82.891;4
15;58.5062;128.454;9
15;92.0684;91.9967;12
15;74.2402;72.4828;24
15;148.956;905.551;3
15;67.7394;68.2966;13
15;81.7395;87.6403;16
15;60.3485;65.0936;9
15;69.7776;69.9043;11
15;70.0199;70.3988;25
15;12465.2;824.266;10
15;73.9531;74.2968;17
15;67.7216;70.8473;28
15;70.3329;165.048;3
15;69.125;69.0989;4
15;204.576;275.516;5
15;62.6591;62.64;3
15;53.3482;168.832;8
15;73.4426;69.9672;18
15;71.0199;71.0571;35
15;376.492;198.85;4
15;58.2677;57.6884;3
15;80.6869;81.5298;13
15;76.6819;111.813;7
15;77.5283;114.914;16
15;356.581;246.562;7
15;85.5913;85.5086;8
15;107.443;76.4236;15
15;63.4066;63.417;4
15;50.0885;50.0558;2
15;739.674;240.71;7
15;65.127;65.0419;4
15;7400.13;3471.32;7
15;62.1008;62.0125;7
15;66.8343;66.7699;2
15;61.5361;63.2592;23
15;316.511;82.1602;6
15;53.6149;53.5863;3
15;57.7445;57.6597;2
15;71.3444;70.921;2
15;93.8014;105.185;10
15;63.5144;66.7023;25
15;74.2454;73.4718;17
15;79.9937;80.0717;8
15;69.1073;69.055;1
15;45.4674;88.8096;2
15;71.0803;70.9837;24
15;70.1249;70.3731;13
15;76.8298;76.8775;11
15;137.157;111.975;8
15;69.9113;72.4857;18
15;116.645;128.07;8
15;54.4102;54.356;6
15;1938.11;218.938;2
15;172.127;67.0439;23
15;125.65;124.577;10
15;64.1077;64.9371;11
15;91.9961;83.8823;7
15;88.3031;88.1278;8
15;101.729;101.707;5
15;83.5107;103.727;10
15;68.1793;78.4252;13
15;126.989;92.8435;4
15;74.4048;73.8473;22
16;83.9167;83.8904;11
16;67.1129;67.104;10
16;91.2901;600.301;9
16;90.0705;93.4347;6
16;62.6482;67.3511;8
16;73.0018;72.9717;6
16;207.321;193.892;6
16;64.9719;64.9782;18
16;86.1834;86.507;13
16;780.571;143.744;3
16;4278.02;2003.38;18
16;107.633;107.202;11
16;70.1075;69.997;10
16;170.987;216.974;15
16;69.1711;69.2503;6
16;72.6591;69.964;1
16;62.3587;61.4416;22
16;69.553;69.5204;14
16;69.653;69.6354;11
16;66.9677;68.5123;8
16;98.55;109.511;13
16;68.8464;68.7078;16
